45.1;Подготовка строительного участка
45.11;Разборка и снос зданий, производство земляных работ
45.11.1;Разборка и снос зданий, расчистка строительных участков
45.11.2;Производство земляных работ
45.11.3;Подготовка участка для горных работ
45.12;Разведочное бурение
45.2;Строительство зданий и сооружений
45.21;Производство общестроительных работ
45.21.1;Производство общестроительных работ по возведению зданий
45.21.2;Производство общестроительных работ по строительству мостов, надземных автомобильных дорог, тоннелей и подземных дорог
45.21.3;Производство общестроительных работ по прокладке магистральных трубопроводов, линий связи и линий электропередачи
45.21.4;Производство общестроительных работ по прокладке местных трубопроводов, линий связи и линий электропередачи, включая взаимосвязанные вспомогательные работы
45.21.5;Производство общестроительных работ по строительству электростанций и сооружений для горнодобывающей и обрабатывающей промышленности
45.21.6;Производство общестроительных работ по строительству прочих зданий и сооружений, не включенных в другие группировки
45.21.7;Монтаж зданий и сооружений из сборных конструкций
45.22;Устройство покрытий зданий и сооружений
45.23;Строительство дорог, аэродромов и спортивных сооружений
45.23.1;Производство общестроительных работ по строительству автомобильных дорог, железных дорог и взлетно посадочных полос аэродромов
45.23.2;Строительство спортивных сооружений
45.24;Строительство водных сооружений
45.24.1;Строительство портовых сооружений
45.24.2;Строительство гидротехнических сооружений
45.24.3;Производство дноуглубительных и берегоукрепительных работ
45.24.4;Производство подводных работ, включая водолазные
45.25;Производство прочих строительных работ
45.25.1;Монтаж строительных лесов и подмостей
45.25.2;Строительство фундаментов и бурение водяных скважин
45.25.3;Производство бетонных и железобетонных работ
45.25.4;Монтаж металлических строительных конструкций
45.25.5;Производство каменных работ
45.25.6;Производство прочих строительных работ, требующих специальной квалификации
45.3;Монтаж инженерного оборудования зданий и сооружений
45.31;Производство электромонтажных работ
45.32;Производство изоляционных работ
45.33;Производство санитарно-технических работ
45.34;Монтаж прочего инженерного оборудования
45.4;Производство отделочных работ
45.41;Производство штукатурных работ
45.42;Производство столярных и плотничных работ
45.43;Устройство покрытий полов и облицовка стен
45.44;Производство малярных и стекольных работ
45.45;Производство прочих отделочных и завершающих работ
45.5;Аренда строительных машин и оборудования с оператором
45.50;Аренда строительных машин и оборудования с оператором